antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'time=evening'}),"frozenset({'temp=hot', 'duration=long'})",0.15239694767972545,0.12647413195078316,0.061813136660703205,0.4056061332055582,3.2070284013761645,1.0,0.04253886499096101,1.4696078086406414,0.8119188117852086,0.2847771236333053,0.3195463482703044,0.4471737363487376
"frozenset({'site=caltech', 'wind=high'})","frozenset({'temp=hot', 'time=night', 'is_weekend=False'})",0.27536602285589107,0.0574683267005002,0.050604257183540835,0.1837708830548926,3.1977768208325625,1.0,0.03477943261984108,1.1547390968201474,0.9484550316414073,0.17930142302716687,0.13400351408059086,0.5321649840941552
"frozenset({'temp=hot', 'time=night', 'is_weekend=False'})","frozenset({'site=caltech', 'wind=high'})",0.0574683267005002,0.27536602285589107,0.050604257183540835,0.880559085133418,3.197776820832562,1.0,0.03477943261984108,6.066882340557589,0.7291879532437346,0.17930142302716687,0.8351706949523446,0.5321649840941552
"frozenset({'duration=very_long', 'site=jpl', 'energy=medium'})","frozenset({'util=low', 'temp=cold', 'is_weekend=False'})",0.08401182956661433,0.20424257913761,0.054766512103399174,0.651890482398957,3.1917462321103027,1.0,0.03760771935464455,2.2859398569342813,0.7496733099489797,0.23455824863174354,0.5625431714808458,0.4600174614354456
"frozenset({'util=low', 'temp=cold', 'is_weekend=False'})","frozenset({'duration=very_long', 'site=jpl', 'energy=medium'})",0.20424257913761,0.08401182956661433,0.054766512103399174,0.2681444404719342,3.1917462321103023,1.0,0.03760771935464455,1.2515969285306203,0.8629412250516174,0.23455824863174354,0.201020730233012,0.4600174614354456
"frozenset({'site=caltech', 'wind=high'})","frozenset({'temp=hot', 'time=night'})",0.27536602285589107,0.07492058855745007,0.06553725948373434,0.23800053036329885,3.176703960097657,1.0,0.044906674982646735,1.2140158206194034,0.9455923048086665,0.23015771252724704,0.17628750547106573,0.5563784328229749
"frozenset({'temp=hot', 'time=night'})","frozenset({'site=caltech', 'wind=high'})",0.07492058855745007,0.27536602285589107,0.06553725948373434,0.8747563352826511,3.1767039600976568,1.0,0.044906674982646735,5.785793467314052,0.7407021539068399,0.23015771252724704,0.8271628592259047,0.5563784328229749
"frozenset({'temp=hot', 'wind=high'})","frozenset({'time=evening', 'site=caltech'})",0.24203147248895543,0.08313556537295995,0.06389426412063237,0.26399155227032733,3.1754346179762827,1.0,0.04377284081721306,1.2457254226568248,0.9038402697495184,0.24455002794857464,0.1972548831288625,0.5162733343257653
"frozenset({'time=evening', 'site=caltech'})","frozenset({'temp=hot', 'wind=high'})",0.08313556537295995,0.24203147248895543,0.06389426412063237,0.7685551163812033,3.1754346179762827,1.0,0.04377284081721306,3.2749418162099593,0.7472014972921313,0.24455002794857464,0.6946510637073593,0.5162733343257653
"frozenset({'duration=very_long', 'temp=cold', 'energy=medium'})","frozenset({'util=low', 'site=jpl', 'is_weekend=False'})",0.06787396400014604,0.25550403446639164,0.054766512103399174,0.8068854222700377,3.158014408481575,1.0,0.03742444046613523,3.8552033424149803,0.7331040083561822,0.20388745412532278,0.740610309967832,0.5106161892716293
