antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'wind=low', 'is_weekend=False', 'duration=very_long'})",frozenset({'temp=cold'}),0.22363952621552224,0.3301582042574339,0.10607692095309092,0.47432098765432096,1.4366475875440585,1.0,0.032240496576790775,1.274241086311598,0.39148705011953827,0.23692649235323135,0.21521915221350527,0.39780608673567364
frozenset({'util=low'}),"frozenset({'wind=low', 'duration=very_long', 'time=morning'})",0.4928076423976366,0.07929539744333085,0.056130760098290954,0.11389993837189759,1.436400371828607,1.0,0.017053382231259497,1.039052633474582,0.5990139026155532,0.10878638698630139,0.037584846249790346,0.41088450957592093
"frozenset({'wind=low', 'duration=very_long', 'time=morning'})",frozenset({'util=low'}),0.07929539744333085,0.4928076423976366,0.056130760098290954,0.7078690807799443,1.4364003718286067,1.0,0.017053382231259497,1.7361817056424165,0.32998126941097283,0.10878638698630139,0.4240234206188787,0.41088450957592093
frozenset({'util=low'}),"frozenset({'wind=low', 'site=caltech', 'duration=very_long', 'time=morning'})",0.4928076423976366,0.07918495817112566,0.05604793064413705,0.1137318617289484,1.4362811366669395,1.0,0.01702497809446915,1.0389801935396408,0.5988999519992706,0.10863166907475785,0.037517744594188544,0.41077109125499023
"frozenset({'wind=low', 'site=caltech', 'duration=very_long', 'time=morning'})",frozenset({'util=low'}),0.07918495817112566,0.4928076423976366,0.05604793064413705,0.707810320781032,1.4362811366669392,1.0,0.01702497809446915,1.7358325556128613,0.329878927715109,0.10863166907475785,0.4239075671403484,0.41077109125499023
frozenset({'site=caltech'}),frozenset({'is_weekend=True'}),0.6290068748446948,0.1091416107567851,0.09856705044313759,0.1567026599947327,1.4357737521753666,1.0,0.02991622694549606,1.0563989081687968,0.8181052818537553,0.15411180660479173,0.05338788949201091,0.5299071104173007
frozenset({'is_weekend=True'}),frozenset({'site=caltech'}),0.1091416107567851,0.6290068748446948,0.09856705044313759,0.9031115608398685,1.4357737521753664,1.0,0.02991622694549606,3.8290752578039764,0.34069548974985775,0.15411180660479173,0.7388403380262856,0.5299071104173007
"frozenset({'site=caltech', 'wind=low', 'duration=very_long', 'is_weekend=False', 'time=morning'})",frozenset({'util=low'}),0.07843949308374058,0.4928076423976366,0.055495734283111074,0.7074973600844773,1.4356460801669384,1.0,0.016840152625647156,1.7339753164239642,0.329277887034359,0.1076017130620985,0.4232905217691717,0.41005435543021557
frozenset({'util=low'}),"frozenset({'site=caltech', 'wind=low', 'duration=very_long', 'is_weekend=False', 'time=morning'})",0.4928076423976366,0.07843949308374058,0.055495734283111074,0.11261135077595384,1.4356460801669384,1.0,0.016840152625647156,1.038508333098574,0.5982927225603067,0.1076017130620985,0.03708042763959111,0.41005435543021557
frozenset({'util=low'}),"frozenset({'wind=low', 'is_weekend=False', 'duration=very_long', 'time=morning'})",0.4928076423976366,0.07846710290179187,0.055495734283111074,0.11261135077595384,1.4351409267256412,1.0,0.016826546296306276,1.0384772195407486,0.5978093203010535,0.10759595310743536,0.037051577845650364,0.4099298836919882
"frozenset({'wind=low', 'is_weekend=False', 'duration=very_long', 'time=morning'})",frozenset({'util=low'}),0.07846710290179187,0.4928076423976366,0.055495734283111074,0.7072484166080225,1.4351409267256412,1.0,0.016826546296306276,1.7325008176753807,0.32902169799353903,0.10759595310743536,0.4227996952164381,0.4099298836919882
"frozenset({'wind=high', 'site=caltech'})","frozenset({'time=morning', 'temp=mild'})",0.3143929981501422,0.11339352273668517,0.051160992849057126,0.1627294282954246,1.4350857471224698,1.0,0.015510863265064359,1.0589246860286727,0.4422030779705242,0.1358404809031596,0.055645776140756845,0.30695516946789736
"frozenset({'time=morning', 'temp=mild'})","frozenset({'wind=high', 'site=caltech'})",0.11339352273668517,0.3143929981501422,0.051160992849057126,0.4511809106403701,1.4350857471224698,1.0,0.015510863265064359,1.2492404421461252,0.3419527538665937,0.1358404809031596,0.19951358740671565,0.30695516946789736
"frozenset({'is_weekend=False', 'duration=very_long'})","frozenset({'util=low', 'temp=mild'})",0.3894640934316243,0.16643198321323063,0.09296225737872388,0.2386927548560896,1.4341759933863154,1.0,0.02814297591855569,1.094916700325372,0.49585208925868246,0.20081111707520724,0.08668851273997909,0.39862640397084503
"frozenset({'util=low', 'temp=mild'})","frozenset({'is_weekend=False', 'duration=very_long'})",0.16643198321323063,0.3894640934316243,0.09296225737872388,0.5585600530856005,1.4341759933863154,1.0,0.02814297591855569,1.3830554095430925,0.36318032691123997,0.20081111707520724,0.27696316929893566,0.39862640397084503
"frozenset({'wind=low', 'is_weekend=False', 'energy=high'})",frozenset({'duration=very_long'}),0.13992655788398353,0.40244070791573483,0.0807587178000497,0.5771507498026835,1.4341261667881033,1.0,0.024446574789007323,1.413173351508659,0.3519598031864092,0.1749506549434775,0.29237273054120944,0.38891154394634725
frozenset({'duration=very_long'}),"frozenset({'wind=low', 'is_weekend=False', 'energy=high'})",0.40244070791573483,0.13992655788398353,0.0807587178000497,0.20067233809001098,1.4341261667881033,1.0,0.024446574789007323,1.0759960940934732,0.5065794866266152,0.1749506549434775,0.07062859661911682,0.38891154394634725
"frozenset({'is_weekend=False', 'temp=cold'})","frozenset({'wind=low', 'util=low'})",0.30635854109721417,0.26348049366354676,0.11571274745299429,0.377703677000721,1.4335166590473765,1.0,0.034993247806656316,1.1835511140201715,0.4359814423131251,0.2548030155642024,0.1550850756218741,0.4084368746525139
"frozenset({'wind=low', 'util=low'})","frozenset({'is_weekend=False', 'temp=cold'})",0.26348049366354676,0.30635854109721417,0.11571274745299429,0.4391700723043068,1.4335166590473765,1.0,0.034993247806656316,1.2368124892207184,0.4105998566214066,0.2548030155642024,0.19147000154399113,0.4084368746525139
frozenset({'energy=medium'}),"frozenset({'is_weekend=False', 'util=high', 'duration=medium'})",0.29523178442254067,0.12148319942571578,0.051409481211518816,0.1741326101187693,1.433388410429933,1.0,0.015543779467705375,1.0637504414608563,0.429009683519754,0.1407301035447056,0.05992988484527185,0.2986572141502938
"frozenset({'is_weekend=False', 'util=high', 'duration=medium'})",frozenset({'energy=medium'}),0.12148319942571578,0.29523178442254067,0.051409481211518816,0.4231818181818182,1.433388410429933,1.0,0.015543779467705375,1.2218203894959894,0.34416233010230485,0.1407301035447056,0.18154909788949597,0.2986572141502938
frozenset({'util=low'}),"frozenset({'is_weekend=False', 'duration=very_long'})",0.4928076423976366,0.3894640934316243,0.27507661724509236,0.5581825312342429,1.4332066566548307,1.0,0.08314573556252072,1.3818736236798048,0.5959551866128956,0.4530283739541652,0.27634482425600515,0.6322388623844545
